127.0.0.1 - - [17/Mar/2021:10:50:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Mar/2021:10:50:39 +0900] "GET /MYSERVER/secret.html HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [17/Mar/2021:10:50:56 +0900] "GET /MYSERVER/secret.html HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [17/Mar/2021:10:50:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Mar/2021:11:04:06 +0900] "GET /MYSERVER/secret.html HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [17/Mar/2021:11:04:19 +0900] "GET /MYSERVER/secret.html HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [17/Mar/2021:11:05:13 +0900] "GET /MYSERVER/secret.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:11:07:10 +0900] "GET /MYSERVER/secret.html HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [17/Mar/2021:11:08:01 +0900] "GET /MYSERVER/secret.html HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [17/Mar/2021:11:10:26 +0900] "GET /MYSERVER/secret.html HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [17/Mar/2021:11:10:40 +0900] "GET /MYSERVER/secret.html HTTP/1.1" 200 358
